sedes_segun_tabla,municipio,anio,periodo,p_vivax,p_falciparum,mixta,total_malaria,fuente,pagina_fuente,nota
BENI,RIBERALTA,2026,SE 1-13,597,58,27,682,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
BENI,GUAYARAMERIN,2026,SE 1-13,199,87,7,293,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
BENI,SANTA ROSA (BNI),2026,SE 1-13,18,1,0,19,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
BENI,REYES,2026,SE 1-13,17,0,1,18,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
BENI,TRINIDAD,2026,SE 1-13,0,1,1,2,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
LA PAZ,RURRENABAQUE,2026,SE 1-13,1,0,0,1,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
LA PAZ,SAN BUENAVENTURA,2026,SE 1-13,1,0,0,1,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,IXIAMAS,2026,SE 1-13,100,52,4,156,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,"Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial. El texto narrativo del boletín atribuye Ixiamas a La Paz; la tabla lo muestra bajo Pando, por lo que se conserva la tabla y se documenta la inconsistencia."
PANDO,SENA,2026,SE 1-13,92,34,0,126,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,PUERTO RICO,2026,SE 1-13,21,1,0,22,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,SAN LORENZO(PND),2026,SE 1-13,21,3,0,24,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,INGAVI(HUMAITA),2026,SE 1-13,29,0,0,29,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,BELLA FLOR,2026,SE 1-13,11,0,0,11,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,EUREKA(SANTOS MERCADO),2026,SE 1-13,55,3,0,58,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,COBIJA,2026,SE 1-13,16,3,2,21,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,NACEBE(SANTA ROSA DEL ABUNA),2026,SE 1-13,31,1,0,32,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,VILLA NUEVA (LOMA ALTA),2026,SE 1-13,11,1,0,12,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,PUERTO GONZALO MORENO,2026,SE 1-13,32,2,0,34,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,NUEVO MANOA(NUEVA ESPERANZA),2026,SE 1-13,52,3,0,55,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,PORVENIR,2026,SE 1-13,4,0,0,4,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
PANDO,SAN PEDRO(PND),2026,SE 1-13,15,0,0,15,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",12,Acumulado municipal SE 1-13; se preserva la agrupación SEDES tal como aparece en la tabla oficial.
